term_str,n,n_chars,p,s,i,h
must,703,4,0.0013553348718215663,737.8250355618776,9.527134932545838,0.01291245820262878
though,694,6,0.001337983500774064,747.393371757925,9.545723959040112,0.012772021160139346
down,689,4,0.0013283438501921182,752.8171262699565,9.556155638914083,0.012693860574430253
over,682,4,0.0013148483393773942,760.5439882697948,9.570887882594201,0.01258426603879621
if,678,2,0.0013071366189118378,765.0309734513273,9.579374348482029,0.012521550997165587
man,673,3,0.001297496968329892,770.7147102526003,9.590053117008056,0.012443064845440582
like,668,4,0.0012878573177479463,776.4835329341317,9.60081151914432,0.01236447537124879
other,656,5,0.0012647221563512766,790.6875,9.62696380700029,0.012175434425105103
these,642,5,0.0012377311347218287,807.9299065420561,9.65808632449607,0.011954114145659896
came,631,4,0.001216523903441548,822.0142630744849,9.683019616635825,0.011779624821130897
found,618,5,0.0011914608119284892,839.3058252427185,9.713052783714,0.011572721755988153
are,618,3,0.0011914608119284892,839.3058252427185,9.713052783714,0.011572721755988153
whose,607,5,0.0011702535806482086,854.515650741351,9.738963105362691,0.011397056445851485
might,601,5,0.0011586859999498738,863.0465890183028,9.753294630907188,0.011301005942218431
night,599,5,0.0011548301397170955,865.9282136894825,9.758103618829589,0.011268952165506869
such,597,4,0.0011509742794843173,868.8291457286432,9.762928690353569,0.011236879815036469
strange,565,7,0.0010892805157598647,918.0371681415929,9.842408754315823,0.010721144084220547
never,551,5,0.0010622894941304168,941.3629764065336,9.878607303047216,0.010493940754667069
upon,550,4,0.0010603615640140277,943.0745454545454,9.88122800320635,0.010477674379859093
thing,539,5,0.001039154332733747,962.3209647495362,9.910374348865869,0.010298408443637354
once,532,4,0.0010256588219190231,974.9830827067669,9.929233376117184,0.010184005807107394
made,515,4,0.0009928840099404077,1007.1669902912621,9.976087189547792,0.009905097452273344
still,507,5,0.0009774605690092946,1023.059171597633,9.998673874615033,0.009773309454819579
much,505,4,0.0009736047087765163,1027.110891089109,10.004376233979217,0.009740307809774036
place,502,5,0.0009678209184273488,1033.2490039840638,10.012972257667602,0.009690764006603424
long,499,4,0.0009620371280781814,1039.4609218436874,10.021619806281112,0.009641170337126102
men,493,3,0.0009504695473798465,1052.1115618661258,10.039071975240462,0.009541832196420505
knew,492,4,0.0009485416172634575,1054.25,10.042001306279133,0.009525256159619761
beyond,480,6,0.0009254064558667877,1080.60625,10.077625216009855,0.00932589943470145
certain,479,7,0.0009234785257503985,1082.8622129436326,10.080633965882193,0.00930924899344228
most,470,4,0.0009061271547028963,1103.5978723404255,10.107998865053373,0.009159132251330918
first,470,5,0.0009061271547028963,1103.5978723404255,10.107998865053373,0.009159132251330918
yet,465,3,0.0008964875041209507,1115.4645161290323,10.12342890562298,0.009075527512747832
see,462,3,0.0008907037137717832,1122.7077922077922,10.132766770202316,0.00902529299300252
come,461,4,0.000888775783655394,1125.1431670281997,10.135892871189036,0.009008536129638157
many,460,4,0.000886847853539005,1127.5891304347826,10.139025760673999,0.008991773232830413
carter,457,6,0.0008810640631898375,1134.9912472647702,10.148465456560304,0.008941448210298731
black,452,5,0.0008714244126078917,1147.546460176991,10.164336849203186,0.008857451268365636
too,452,3,0.0008714244126078917,1147.546460176991,10.164336849203186,0.008857451268365636
thought,449,7,0.0008656406222587244,1155.2138084632518,10.173944176877226,0.008806979368097528
heard,446,5,0.000859856831909557,1162.9843049327353,10.183615911698068,0.008756451715216456
house,445,5,0.0008579289017931678,1165.5977528089888,10.186854285764614,0.008739596710113061
last,441,4,0.0008502171813276112,1176.1700680272108,10.199880966060853,0.00867211404484141
two,440,3,0.0008482892512112221,1178.8431818181818,10.203156098093714,0.008655227646443131
again,434,5,0.0008367216705128872,1195.1405529953918,10.222964579173894,0.008553776000280455
back,427,4,0.0008232261596981633,1214.7330210772834,10.246423551997884,0.008435123911352031
told,426,4,0.0008212982295817741,1217.5845070422536,10.249806191392535,0.008418147678546995
seen,425,4,0.0008193702994653849,1220.449411764706,10.25319678059331,0.008401164916592261
know,416,4,0.0008020189284178827,1246.8533653846155,10.284076093477282,0.008248023688258613
far,413,3,0.0007962351380687153,1255.9104116222761,10.294517840198928,0.008196856833841646
her,411,3,0.000792379277835937,1262.021897810219,10.301521227936691,0.00816271195120405
dark,401,4,0.0007730999766720456,1293.493765586035,10.337057385163453,0.007991578823327463
new,397,3,0.0007653882562064891,1306.5264483627204,10.351520614475415,0.007922932312198863
ever,397,4,0.0007653882562064891,1306.5264483627204,10.351520614475415,0.007922932312198863
something,392,9,0.0007557486056245433,1323.1913265306123,10.369805967503165,0.007836966400537585
city,392,4,0.0007557486056245433,1323.1913265306123,10.369805967503165,0.007836966400537585
how,390,3,0.000751892745391765,1329.9769230769232,10.377185497868762,0.007802530493432153
said,388,4,0.0007480368851589868,1336.8324742268042,10.384602969431246,0.007768066058866114
almost,388,6,0.0007480368851589868,1336.8324742268042,10.384602969431246,0.007768066058866114
ancient,386,7,0.0007441810249262085,1343.759067357513,10.392058774350293,0.007733572949789398
world,381,5,0.0007345413743442627,1361.3937007874017,10.410868624125051,0.007647213747282378
since,380,5,0.0007326134442278736,1364.9763157894738,10.414660203287426,0.007629920081993367
light,378,5,0.0007287575839950954,1372.1984126984128,10.4222733873973,0.007595310773536036
will,374,4,0.0007210458635295388,1386.874331550802,10.437621351730737,0.007526003700753041
do,371,2,0.0007152620731803713,1398.088948787062,10.44924043499757,0.0074739453766965265
little,370,6,0.0007133341430639822,1401.8675675675674,10.453134351102062,0.007456577634676065
away,370,4,0.0007133341430639822,1401.8675675675674,10.453134351102062,0.007456577634676065
years,368,5,0.0007094782828312039,1409.4864130434783,10.46095385556136,0.007421819578220136
can,367,3,0.0007075503527148148,1413.3269754768394,10.464879558775161,0.00740442922292942
felt,364,4,0.0007017665623656474,1424.9752747252746,10.476721171419676,0.007352212601330585
left,363,4,0.0006998386322492582,1428.9008264462811,10.480690073622624,0.007334791806152434
way,358,3,0.0006901989816673125,1448.8575418994415,10.500700034354118,0.007247572470505125
stone,352,5,0.0006786314009689777,1473.5539772727273,10.525084192981076,0.0071426526311991895
day,348,3,0.0006709196805034212,1490.4913793103447,10.541572315769645,0.00707254833009988
well,347,4,0.000668991750387032,1494.78674351585,10.545723959040112,0.007055002330456706
while,346,5,0.0006670638202706428,1499.106936416185,10.549887583981649,0.0070374483151966205
door,345,4,0.0006651358901542537,1503.4521739130435,10.554063259952843,0.007019886261153038
without,343,7,0.0006612800299214754,1512.2186588921281,10.562451045445561,0.00698473794337636
room,341,4,0.0006574241696886971,1521.0879765395896,10.570887882594201,0.006949557189086802
life,340,4,0.0006554962395723079,1525.5617647058825,10.575124875480672,0.006931954588885151
us,338,2,0.0006516403793395297,1534.5887573964496,10.583636375336189,0.00689672482241572
around,333,6,0.000642000728757584,1557.6306306306305,10.605137444547111,0.006808505967973588
began,330,5,0.0006362169384084166,1571.790909090909,10.618193597372558,0.00675547462194822
above,330,5,0.0006362169384084166,1571.790909090909,10.618193597372558,0.00675547462194822
eyes,328,4,0.0006323610781756383,1581.375,10.62696380700029,0.00672007829072819
off,323,3,0.0006227214275936926,1605.8544891640868,10.649125456924448,0.006631438607160326
nothing,319,7,0.000615009707128136,1625.9905956112852,10.667103197853503,0.0065603720136174866
she,313,3,0.0006034421264298011,1657.1597444089457,10.694496964685754,0.006453509989467025
human,312,5,0.0006015141963134121,1662.4711538461538,10.699113592756126,0.006435668714012604
known,311,5,0.0005995862661970229,1667.8167202572347,10.703745041487771,0.00641781852375055
horror,310,6,0.0005976583360806337,1673.1967741935484,10.708391406344136,0.006399959390015794
toward,307,6,0.0005918745457314664,1689.5472312703582,10.722420966248194,0.0063463280385397
just,306,4,0.0005899466156150772,1695.0686274509803,10.727127968925721,0.006328432840537566
own,301,3,0.0005803069650331315,1723.2259136212624,10.750896134858671,0.006238819907406259
unknown,300,7,0.0005783790349167423,1728.97,10.755697121122493,0.006220869720771611
may,298,3,0.0005745231746839641,1740.5738255033557,10.765347291156212,0.00618494150229048
here,298,4,0.0005745231746839641,1740.5738255033557,10.765347291156212,0.00618494150229048
terrible,295,8,0.0005687393843347966,1758.2745762711866,10.77994466736917,0.006130979093282716
every,291,5,0.00056102766386924,1782.4432989690722,10.79964046871009,0.006058897062788126
face,289,4,0.0005571718036364618,1794.7785467128026,10.809590129117694,0.0060227988288114
dreams,288,6,0.0005552438735200727,1801.0104166666667,10.81459081017606,0.006004735291976737
earth,283,5,0.0005456042229381269,1832.8303886925796,10.839857568786492,0.005914272065577728
near,283,4,0.0005456042229381269,1832.8303886925796,10.839857568786492,0.005914272065577728
another,280,7,0.0005398204325889595,1852.467857142857,10.855232794673407,0.005859876463074459
because,280,7,0.0005398204325889595,1852.467857142857,10.855232794673407,0.005859876463074459
indeed,278,6,0.0005359645723561812,1865.794964028777,10.865574738894866,0.005823563118335912
later,275,5,0.0005301807820070138,1886.1490909090908,10.88122800320635,0.00576901797193656
street,272,6,0.0005243969916578464,1906.9522058823527,10.897052970368033,0.005714381795597197
curious,272,7,0.0005243969916578464,1906.9522058823527,10.897052970368033,0.005714381795597197
under,272,5,0.0005243969916578464,1906.9522058823527,10.897052970368033,0.005714381795597197
three,271,5,0.0005224690615414573,1913.9889298892988,10.902366770264502,0.005696149335040862
tell,268,4,0.0005166852711922898,1935.4141791044779,10.9184266211606,0.005641390219747481
fear,268,4,0.0005166852711922898,1935.4141791044779,10.9184266211606,0.005641390219747481
