term_str,0,1,2,3,4,5
stars,-0.004970740657803425,0.0033103063607463836,-0.0011013877861895728,0.0012787121748186973,0.009308472889196034,-0.002324468244746793
shall,0.0057702168264518235,-0.01658660248749231,-0.0003133920523308714,-0.016322614854367333,-0.018901067439595475,0.014361247146834613
land,-0.008340860506079684,0.006162065811385719,-0.0003713984457291968,0.0023648459688115956,-0.003549445492236957,-0.0013677594399809884
view,-0.004517307636919316,0.0013414476146038,-0.005129465787252242,-0.00162786704188552,0.0007011807892396271,0.0007162819555197092
perhaps,-0.00834880461502385,-0.0011120742993198712,0.01017949024089003,0.006537098941501337,-0.00015724970371592682,0.005472057577012796
odd,-0.004962961245735665,0.0023867798772403996,0.0017626856257559097,0.00766411399256301,0.01061794633960229,-0.0034685617367623423
hidden,-0.004844005944205136,0.0008541591330368985,-0.0005366881242966054,0.0005924831958300014,0.004236425547263846,0.0014224888024401158
sea,-0.006637466937532446,0.013547551886636339,-0.005074425377467013,0.003693229422378152,0.005401579047595898,0.0043666644204490975
wondered,-0.0030723517380855277,0.002475740531063715,0.0036646386999157282,0.002368301897803759,0.002605589488093003,0.0008040265755285265
spot,-0.0044710840311112145,0.004201765021127773,-0.002323974318458273,-0.0009916350476397275,-0.004241874295210888,-0.000141666207598601
late,0.0010861643361172665,0.006000842764598395,0.0018083702945697238,0.00025848591884652266,-0.005005256477226543,-0.007475278813353381
better,0.005649986717576645,-0.003628840486622576,0.006535477885246083,-0.009630962165316451,-0.008516347918197602,-0.0020088506929537855
hope,0.002363678061645133,-0.008865098973682404,0.0009296321863649501,-0.0156451072923164,-0.003751411677333584,-0.0023270261461815914
entered,-0.006088964111034094,0.00445492022114579,0.003152136654052999,0.002298651177403621,-0.008447684430137131,0.0013612676116235714
nearly,-0.006221998242929398,0.003602860410011121,0.004128626727892826,0.0031442310946171357,0.004665618856990648,0.0001179645950795615
sense,-0.003630192408617374,0.0009500142430317399,0.00171863526514401,-0.0021980086841237824,-0.0024296013815337074,0.0022841311562995835
filled,-0.0034889525142543223,0.0032098601199750556,0.002523434675675058,0.001139312314361088,0.0035772719726458405,0.0004159448194637688
ears,-0.0020263062922361167,0.00253088092988853,0.0006517497328862886,0.0013394602864992874,0.000465369432443176,-0.0011023680852235373
’,-0.0497981706798202,0.047631321116905295,-0.8107335469517192,-0.189278374616824,-0.025189365744866524,-0.045162178822503486
whole,-0.007816972185409487,0.0017945911966299455,0.006111421998814994,-1.514666389864608e-06,-4.217553953063478e-05,0.005893800972709731
